Sample_ID	Site	Glucose	Fructose	Sucrose	GF_Ratio
1	A	34.5324337	21.80945328	3.905041813	0.612908718
2	A	78.47802116	22.10519212	4.849017939	0.780229808
3	A	47.32955214	1	8.958970086	0.979308726
4	A	11.50782516	1.585230333	3.411673393	0.878925868
5	A	1.186819552	1	9.999057666	0.542714899
6	A	30.56786071	0.494581429	3.535218481	0.984077832
7	A	48.59852497	10.70254879	7.002743778	0.819521838
8	A	57.86748763	1	6.758241419	0.983012694
9	A	50.08517669	7.574529038	4.971063249	0.868633928
10	A	23.72016343	14.78796891	0.83019373	0.615978028
11	A	64.301808	20.8931474	5.204270168	0.754760745
12	A	35.69297184	14.90772108	0	0.705385041
13	A	31.36933829	1	6.233716687	0.969106566
14	A	41.9494343	1.744851007	1.850913642	0.960066837
15	A	33.05948337	9.278913736	3.27012879	0.780839277
16	A	32.05446174	8.438986124	3.912841481	0.791596256
17	A	42.45416707	7.893318828	6.807010756	0.843223178
18	A	78.67362557	24.67662521	8.323074831	0.76123304
19	A	72.05000818	14.88425184	10.64305817	0.828787272
20	A	35.82029505	6.477752443	6.024759688	0.846854575
21	A	32.48189889	30.46381399	4.047797547	0.51603036
22	A	21.67987654	11.6687457	6.019887936	0.650098118
23	A	72.92220211	12.31044423	4.945812692	0.855566561
24	A	54.91081633	9.858982676	6.990142977	0.847784263
25	A	72.6322485	1	7.963994301	0.986418994
26	A	66.6874654	6.199452582	5.712734056	0.914944235
27	A	59.24795964	1	2.532474836	0.983401928
28	A	13.86217604	5.633156692	6.887758347	0.711051011
29	A	12.47436109	1	5.955446614	0.925784978
30	A	64.65765465	30.97986713	0	0.676069951
31	A	39.71431751	11.68263852	1.007668336	0.772697852
32	A	33.25601605	13.09755945	2.471247915	0.717442305
33	A	75.40931405	1	5.890861127	0.98691259
34	A	55.86306823	12.25601212	0	0.820079601
35	A	35.00448596	2.863755528	6.698397963	0.924375798
36	A	90.73575232	5.811212495	3.244793025	0.939809475
37	A	61.61488362	8.231269624	8.435760379	0.882151425
38	A	18.09554771	12.48307545	6.136868217	0.591771173
39	A	40.7896816	20.46680737	0.442832985	0.66588344
40	A	56.90607504	27.96155555	3.983455536	0.67052744
41	A	47.89670206	23.16465749	5.741037673	0.674018937
42	A	31.93946801	15.18105016	4.226422777	0.677825059
43	A	89.93333986	8.913866271	0	0.909821768
44	A	20.15004356	1	2.534687205	0.952718774
45	A	29.89872541	22.04522306	1.659704446	0.575595932
46	A	6.720154665	1	3.67585016	0.870468916
47	A	40.67429695	14.44994644	6.260727889	0.737865854
48	A	69.27531601	25.39209992	3.477417467	0.731775715
49	A	31.28333744	12.2812597	12.51307267	0.718090824
50	A	18.19815745	8.978942921	4.324236385	0.669613653
51	B	72.18328146	31.84167196	7.104303436	0.693903521
52	B	65.8105983	25.79079101	9.396785234	0.718445417
53	B	19.81202055	2.276420237	12.37221357	0.896940655
54	B	60.68026881	9.508573823	3.308600232	0.864528699
55	B	39.49955107	13.52994542	5.699402176	0.744860006
56	B	62.82878864	26.11258517	0.059464321	0.706406771
57	B	99.66546546	9.162312636	3.842294123	0.915809063
58	B	75.89765004	13.34928468	1.979412656	0.850423046
59	B	37.65465465	18.28356963	4.812217219	0.673147121
60	B	66.72054674	24.95079279	6.006332053	0.727823408
61	B	65.48661125	2.655754599	4.601362552	0.961026381
62	B	44.07786856	1	7.807511977	0.977816165
63	B	20.35460997	17.5456928	4.784439967	0.537056659
64	B	26.70074602	25.19798757	0	0.514477795
65	B	51.03676783	25.21089563	3.278252899	0.669355171
66	B	19.40881481	11.84223954	7.53199215	0.62106112
67	B	16.17100102	1	3.46126041	0.941762277
68	B	65.16360816	9.63822531	7.433607506	0.871149879
69	B	18.4136025	2.665807514	8.315096348	0.873535003
70	B	88.28749213	1.594270336	7.846830064	0.982262583
71	B	114.2240358	6.990427073	3.085136383	0.942330091
72	B	61.09848776	14.71207377	3.68084185	0.805936357
73	B	46.77398288	30.41721249	7.244932799	0.605949716
74	B	31.65764654	11.03559621	4.848412066	0.741514219
75	B	18.50455109	7.631703058	1.600349591	0.708003182
76	B	113.4222375	18.75822896	2.678664338	0.858086225
77	B	29.57652891	22.01050544	7.333566957	0.573332607
78	B	43.15995764	1	10.65908946	0.977355051
79	B	58.74309666	1	5.538351861	0.983261664
80	B	71.32636414	21.58064664	6.941325681	0.767717781
81	B	26.05812325	14.22198269	7.182496032	0.646922908
82	B	42.54312793	11.43099589	2.283680172	0.788213405
83	B	39.47573667	0.420610885	2.126025924	0.989457409
84	B	40.48786164	18.86386276	8.220973432	0.682168244
85	B	73.39836516	3.688702736	9.116693715	0.952148877
86	B	74.24989681	26.75981902	9.528811652	0.735076781
87	B	48.02451176	1	4.71765052	0.979602041
88	B	60.19798016	1	4.403212645	0.983659591
89	B	61.72287918	31.7042015	4.267343312	0.660652979
90	B	49.58229925	9.386266062	3.341676674	0.840825938
