Sample_ID	Tmt	Glucose	Fructose	Sucrose	GF_Ratio
1	Nectar	67.65498548	38.76386069	14.07614223	0.63574252
2	Nectar	122.8045338	37.38321916	5.644107143	0.766628731
3	Nectar	57.73445624	34.49814898	0	0.625965797
4	Nectar	51.98464987	37.16145456	6.668885987	0.583139894
5	Nectar	63.12330577	25.29129528	10.85662564	0.713946622
6	Nectar	118.586988	24.91565739	15.29769621	0.826374926
7	Nectar	145.8077385	61.7780184	0	0.702397605
8	Nectar	52.78123474	27.35332546	0	0.658657571
9	Nectar	59.70922469	24.74699484	1.470893026	0.706984341
10	Nectar	130.3654846	89.03782001	0	0.594181956
11	Nectar	88.40389419	57.75767538	1.771281384	0.604836787
12	Nectar	44.40020496	37.74512437	4.073110162	0.540507967
13	Nectar	88.21800493	35.12749865	0	0.715210546
14	Nectar	98.19349349	35.59128517	15.18486083	0.733966109
15	Nectar	111.4041409	37.49404772	5.538873724	0.748190035
16	Nectar	53.91073625	20.0672173	2.747675698	0.728740573
17	Nectar	65.04955123	19.96354771	4.486858925	0.765170921
18	Nectar	42.82991321	11.43482237	3.112245558	0.789277101
19	Nectar	52.15540992	7.726567871	2.603735889	0.870970062
20	Nectar	51.49092406	10.87984986	7.430362271	0.825561731
21	Nectar	35.8579235	31.35498465	2.34890937	0.533497575
22	Nectar	60.36122607	23.59032882	0	0.719000692
23	Nectar	62.059986	31.35241189	4.157003671	0.664365624
24	Nectar	56.38942701	10.14245293	1.945461379	0.847554993
25	Nectar	67.58163236	20.00125768	1.43461172	0.771630536
26	Nectar	52.73295173	42.45779287	0	0.553971418
27	Nectar	46.31718956	48.79711486	4.28509771	0.486963447
28	Nectar	64.32818026	31.65796515	2.477945297	0.670181931
29	Nectar	51.88606824	17.65360879	4.547003186	0.746136169
30	Nectar	74.44101262	44.02996802	2.296904168	0.628348075
31	Honeydew	31.3464097	5.861311509	2.191945815	0.842470559
32	Honeydew	34.14826121	21.13386023	1.827103776	0.61770895
33	Honeydew	40.18933224	5.190071583	7.046121036	0.885629357
34	Honeydew	31.3474933	5.668309674	2.931705896	0.846867845
35	Honeydew	32.68654655	16.96862577	3.732677553	0.65827073
36	Honeydew	34.2732443	6.012654654	0.172884876	0.850750391
37	Honeydew	24.49148036	9.593015248	0.81234817	0.718551938
38	Honeydew	32.77845847	8.654654654	5.994206726	0.791117442
39	Honeydew	38.72735591	21.67169549	6.775444994	0.641191459
40	Honeydew	50.99605241	7.263542986	6.746591066	0.875324521
41	Honeydew	19.09061911	5.321546753	0	0.78201251
42	Honeydew	49.53813948	17.98798799	9.149882081	0.7336144
43	Honeydew	35.0377218	9.922379662	6.050618489	0.779307
44	Honeydew	45.57759148	1.99717822	2.919847608	0.958020223
45	Honeydew	43.81092852	4.6650767	5.110823336	0.903765241
46	Honeydew	35.81317244	13.72605147	0.057229542	0.722925585
47	Honeydew	9.353215921	4.946844779	0	0.654068267
48	Honeydew	23.6472042	1	2.098100902	0.959427447
49	Honeydew	34.35277243	6.979241295	0	0.831141997
50	Honeydew	10.69714963	3.823569506	2.380037997	0.736681808
51	Honeydew	16.85756778	9.540081288	4.595411799	0.638601102
52	Honeydew	33.71494747	14.59453157	0	0.697895074
53	Honeydew	36.52268107	0.043844933	0.523118492	0.998800954
54	Honeydew	31.95651383	8.727901785	2.093127879	0.785473094
55	Honeydew	11.71335554	6.509388352	0	0.642787695
56	Honeydew	28.50328652	11.37339349	1.23343208	0.714785848
57	Honeydew	47.69060515	4.621331166	3.745510823	0.911658189
58	Honeydew	28.86882156	11.01971441	3.939090028	0.723737306
59	Honeydew	26.32660344	2.659879879	2.76769333	0.908237234
60	Honeydew	23.18655194	16.13675353	0	0.589638935
61	Unfed	42.08506657	5.594333936	0.973001632	0.882667696
62	Unfed	29.17995347	2.547672033	1.532386607	0.919701774
63	Unfed	16.74290231	1	1.406597519	0.943639435
64	Unfed	17.25864941	4.9290261	0.904591763	0.777848468
65	Unfed	34.00019493	4.449581591	0	0.884275489
66	Unfed	32.32659666	2.980933121	1.030483319	0.915572312
67	Unfed	33.70958447	4.784232752	1.151455893	0.875714255
68	Unfed	14.35301829	1.047652154	0.41589103	0.931973601
69	Unfed	23.63128411	3.300697121	1.368806733	0.877443212
70	Unfed	26.32862605	4.782220913	1.29465434	0.846284451
71	Unfed	24.04268323	1	0.720740627	0.960068177
72	Unfed	18.93875484	0.278414826	0	0.985512184
73	Unfed	35.11521997	1	0.570074882	0.972310843
74	Unfed	19.05340962	1	0.555419662	0.950133168
75	Unfed	40.18423714	1.61997383	0.416369341	0.961248549
76	Unfed	19.37285901	2.479806509	0.340541184	0.886521555
77	Unfed	33.04869654	3.301448063	0.520495858	0.909176481
78	Unfed	42.86645393	3.067126631	0.465491202	0.93322692
79	Unfed	32.54646547	4.986546547	0.32526117	0.867142383
80	Unfed	3.606056166	0.56969638	0.170599753	0.863570369
81	Unfed	4.333393318	0.066645318	0.204082956	0.98485347
82	Unfed	8.17975199	0.221102762	0.408577485	0.973680921
83	Unfed	3.578735393	0.115548824	0.34037749	0.96872227
84	Unfed	12.54654655	0.175529966	0.358648754	0.986202727
85	Unfed	22.7421519	7.954056292	0.024489723	0.740878214
86	Unfed	66.22591534	14.21295773	5.750709812	0.823307349
87	Unfed	52.87701061	13.70839053	1.184708855	0.794123182
88	Unfed	8.646442365	1.684814731	4.843855988	0.836920646
89	Unfed	103.0291008	8.329739927	0	0.925199114
90	Unfed	65.71597223	14.55832681	0.601651711	0.818642741
